date,open,high,low,close,volume,adjusted_close,dividend
2025-01-17,233.53,238.96,228.03,229.98,269145341,229.98,0.0
2025-01-24,224.0,227.03,219.38,222.78,277129596,222.78,0.0
2025-01-31,224.02,247.19,223.98,236.0,372790494,236.0,0.0
2025-02-07,229.99,234.0,225.7,227.63,227428164,227.63,0.0
2025-02-14,229.57,245.55,227.2,244.6,226587580,244.6,0.0
2025-02-21,244.15,248.69,241.84,245.55,166541044,245.55,0.0
2025-02-28,244.925,250.0,230.2,241.84,241760231,241.84,0.0
2025-03-07,241.79,244.0272,229.23,239.07,239653674,239.07,0.0
2025-03-14,235.54,236.16,208.42,213.49,331612070,213.49,0.0
2025-03-21,213.31,218.84,209.97,218.27,287881958,218.27,0.0
2025-03-28,221.0,225.02,217.68,217.9,190239113,217.9,0.0
2025-04-04,217.005,225.62,187.34,188.38,366947884,188.38,0.0
2025-04-11,177.2,200.61,169.2101,198.15,675037558,198.15,0.0
2025-04-17,211.44,212.94,192.37,196.98,264593881,196.98,0.0
2025-04-23,193.265,208.0,189.8112,204.6,152648073,204.6,0.0
