date,open,high,low,close,volume,adjusted_close,dividend
2023-05-19,309.095,319.04,307.59,318.34,122204598,318.34,0.0
2023-05-26,318.6,333.4,312.61,332.89,158230100,332.89,0.0
2023-06-02,335.23,337.5,324.72,335.4,127697548,335.4,0.0
2023-06-09,335.22,338.5599,322.5,326.79,128227063,326.79,0.0
2023-06-16,328.58,351.47,325.16,342.33,158712883,342.33,0.0
2023-06-23,339.31,342.08,332.07,335.02,98196871,335.02,0.0
2023-06-30,333.72,342.73,328.49,340.54,109964013,340.54,0.0
2023-07-07,339.19,342.99,334.7276,337.22,80091428,337.22,0.0
2023-07-14,334.6,351.43,327.0,345.24,138404817,345.24,0.0
2023-07-21,345.678,366.78,339.83,343.77,228153310,343.77,0.0
2023-07-28,345.85,351.89,329.05,338.37,194860778,338.37,0.0
2023-08-04,336.92,338.54,325.95,327.78,113690368,327.78,0.0
2023-08-11,328.37,331.11,319.21,321.01,106911584,321.01,0.0
2023-08-18,321.39,325.09,311.5508,316.48,102513461,316.48,0.0
2023-08-25,317.93,332.98,317.04,322.98,106273900,322.98,0.0
2023-09-01,325.66,331.99,321.722,328.66,90668160,328.66,0.0
2023-09-08,329.0,336.16,328.66,334.27,74018792,334.27,0.0
2023-09-15,337.24,340.86,329.65,330.22,108640058,330.22,0.0
2023-09-22,327.8,330.4,315.0,317.01,111793469,317.01,0.0
2023-09-29,316.59,319.47,309.45,315.75,107374481,315.75,0.0
2023-10-06,316.28,329.19,311.215,327.26,104962901,327.26,0.0
2023-10-13,324.75,333.83,323.18,327.73,100910313,327.73,0.0
2023-10-20,331.05,336.88,325.45,326.67,113729959,326.67,0.0
2023-10-27,325.47,346.2,324.39,329.81,178267212,329.81,0.0
2023-11-03,333.41,354.39,331.83,352.8,119237928,352.8,0.0
2023-11-10,353.45,370.1,353.35,369.67,129342555,369.67,0.0
2023-11-17,368.22,376.35,365.9,369.85,142038149,369.85,0.0
2023-11-24,371.22,379.7899,371.0,377.43,114489942,377.43,0.0
